,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
43,lompoc,32.0,-122.6,63.77,84,4,17.69,2020-08-08
44,lompoc,32.0,-122.8,63.81,84,15,17.56,2020-08-08
45,lompoc,32.0,-123.0,63.95,84,36,17.27,2020-08-08
46,lompoc,32.0,-123.2,64.09,84,32,16.98,2020-08-08
47,lompoc,32.0,-123.4,64.24,83,26,16.78,2020-08-08
48,lompoc,32.0,-123.6,64.38,82,13,16.71,2020-08-08
49,lompoc,32.0,-123.8,64.53,82,8,16.75,2020-08-08
50,lompoc,32.0,-124.0,64.67,81,39,16.89,2020-08-08
51,lompoc,32.0,-124.2,64.67,81,33,17.07,2020-08-08
52,lompoc,32.0,-124.4,64.78,81,20,17.25,2020-08-08
53,lompoc,32.0,-124.6,64.85,81,11,17.49,2020-08-08
54,lompoc,32.0,-124.8,64.85,80,6,17.78,2020-08-08
55,fortuna foothills,32.2,-114.0,88.09,48,1,3.36,2020-08-08
56,fortuna foothills,32.2,-114.2,87.13,48,1,3.36,2020-08-08
57,fortuna foothills,32.2,-114.4,87.01,48,1,3.36,2020-08-08
58,san luis rio colorado,32.2,-114.6,86.95,48,1,3.36,2020-08-08
59,estacion coahuila,32.2,-114.8,86.88,48,1,3.36,2020-08-08
60,estacion coahuila,32.2,-115.0,86.47,48,1,3.36,2020-08-08
61,guadalupe victoria,32.2,-115.2,79.41,46,0,3.24,2020-08-08
62,delta,32.2,-115.4,75.25,30,0,2.82,2020-08-08
63,progreso,32.2,-115.6,82.67,15,0,4.9,2020-08-08
64,progreso,32.2,-115.8,80.19,15,0,8.59,2020-08-08
65,progreso,32.2,-116.0,55.4,66,0,6.93,2020-08-08
66,la joya,32.2,-116.2,59.29,66,0,6.93,2020-08-08
67,la joya,32.2,-116.4,61.7,66,0,6.93,2020-08-08
68,el sauzal,32.2,-116.6,62.83,66,0,6.93,2020-08-08
69,primo tapia,32.2,-116.8,63.82,88,1,3.09,2020-08-08
70,primo tapia,32.2,-117.0,64.56,88,1,7.9,2020-08-08
71,rosarito,32.2,-117.2,64.67,88,1,11.63,2020-08-08
72,rosarito,32.2,-117.4,65.21,88,1,12.95,2020-08-08
73,rosarito,32.2,-117.6,65.28,82,29,3.36,2020-08-08
74,rosarito,32.2,-117.8,64.99,87,14,1.01,2020-08-08
75,coronado,32.2,-118.0,64.81,87,0,15.46,2020-08-08
76,coronado,32.2,-118.2,64.27,87,0,16.04,2020-08-08
77,coronado,32.2,-118.4,63.81,87,0,16.75,2020-08-08
78,coronado,32.2,-118.6,63.37,88,0,17.6,2020-08-08
79,rancho palos verdes,32.2,-118.8,62.94,89,0,18.54,2020-08-08
80,rancho palos verdes,32.2,-119.0,62.55,90,0,19.39,2020-08-08
81,rancho palos verdes,32.2,-119.2,62.29,90,0,19.8,2020-08-08
82,rancho palos verdes,32.2,-119.4,62.02,90,0,19.6,2020-08-08
83,rancho palos verdes,32.2,-119.6,61.88,90,5,19.19,2020-08-08
84,port hueneme,32.2,-119.8,61.83,90,15,18.81,2020-08-08
85,port hueneme,32.2,-120.0,61.72,91,19,18.54,2020-08-08
86,port hueneme,32.2,-120.2,61.86,90,21,18.28,2020-08-08
87,isla vista,32.2,-120.4,62.01,90,24,18.07,2020-08-08
88,isla vista,32.2,-120.6,62.2,89,24,18.07,2020-08-08
89,isla vista,32.2,-120.8,62.44,89,17,18.21,2020-08-08
90,isla vista,32.2,-121.0,62.58,88,4,18.39,2020-08-08
91,lompoc,32.2,-121.2,62.73,88,3,18.41,2020-08-08
92,lompoc,32.2,-121.4,62.87,88,1,18.37,2020-08-08
93,lompoc,32.2,-121.6,63.0,87,0,18.32,2020-08-08
94,lompoc,32.2,-121.8,63.09,86,0,18.25,2020-08-08
95,lompoc,32.2,-122.0,63.12,86,0,18.12,2020-08-08
96,lompoc,32.2,-122.2,63.27,86,0,17.98,2020-08-08
97,lompoc,32.2,-122.4,63.41,85,0,17.94,2020-08-08
98,lompoc,32.2,-122.6,63.59,85,0,17.87,2020-08-08
99,lompoc,32.2,-122.8,63.81,84,7,17.78,2020-08-08
100,lompoc,32.2,-123.0,63.95,84,28,17.6,2020-08-08
101,lompoc,32.2,-123.2,64.09,83,38,17.45,2020-08-08
102,lompoc,32.2,-123.4,64.24,83,30,17.31,2020-08-08
103,lompoc,32.2,-123.6,64.38,83,14,17.29,2020-08-08
104,lompoc,32.2,-123.8,64.49,82,2,17.4,2020-08-08
105,lompoc,32.2,-124.0,64.53,82,9,17.54,2020-08-08
106,lompoc,32.2,-124.2,64.63,82,7,17.67,2020-08-08
107,lompoc,32.2,-124.4,64.69,81,4,17.9,2020-08-08
108,lompoc,32.2,-124.6,64.71,81,2,18.14,2020-08-08
109,lompoc,32.2,-124.8,64.74,81,1,18.41,2020-08-08
110,fortuna foothills,32.4,-114.0,87.22,48,1,3.36,2020-08-08
111,fortuna foothills,32.4,-114.2,87.1,48,1,3.36,2020-08-08
112,fortuna foothills,32.4,-114.4,87.12,48,1,3.36,2020-08-08
113,san luis rio colorado,32.4,-114.6,87.1,48,1,3.36,2020-08-08
114,san luis rio colorado,32.4,-114.8,87.04,48,1,3.36,2020-08-08
115,ejido hermosillo,32.4,-115.0,86.77,51,1,5.82,2020-08-08
116,delta,32.4,-115.2,84.25,45,1,8.05,2020-08-08
117,puebla,32.4,-115.4,82.4,32,1,8.05,2020-08-08
118,progreso,32.4,-115.6,82.4,18,1,8.05,2020-08-08
119,progreso,32.4,-115.8,75.04,14,1,8.05,2020-08-08
120,progreso,32.4,-116.0,67.86,66,0,6.93,2020-08-08
121,la joya,32.4,-116.2,58.5,66,0,6.93,2020-08-08
122,la joya,32.4,-116.4,62.13,66,0,6.93,2020-08-08
123,la joya,32.4,-116.6,62.08,66,0,6.93,2020-08-08
124,primo tapia,32.4,-116.8,63.25,88,1,1.77,2020-08-08
125,rosarito,32.4,-117.0,64.15,82,5,4.88,2020-08-08
126,rosarito,32.4,-117.2,64.44,88,1,9.4,2020-08-08
127,imperial beach,32.4,-117.4,64.69,82,13,3.36,2020-08-08
128,coronado,32.4,-117.6,64.94,82,26,3.36,2020-08-08
129,coronado,32.4,-117.8,65.84,82,27,3.36,2020-08-08
130,coronado,32.4,-118.0,65.07,87,2,14.7,2020-08-08
131,coronado,32.4,-118.2,64.4,87,0,15.39,2020-08-08
132,coronado,32.4,-118.4,63.91,87,0,16.17,2020-08-08
133,rancho palos verdes,32.4,-118.6,60.8,88,0,11.41,2020-08-08
134,rancho palos verdes,32.4,-118.8,62.85,89,0,18.21,2020-08-08
135,rancho palos verdes,32.4,-119.0,62.51,89,0,19.26,2020-08-08
136,rancho palos verdes,32.4,-119.2,62.13,90,0,19.73,2020-08-08
137,rancho palos verdes,32.4,-119.4,61.83,91,0,19.53,2020-08-08
138,malibu,32.4,-119.6,61.59,91,9,19.08,2020-08-08
139,port hueneme,32.4,-119.8,61.45,91,23,18.63,2020-08-08
140,port hueneme,32.4,-120.0,61.39,91,23,18.28,2020-08-08
141,port hueneme,32.4,-120.2,61.45,91,20,17.85,2020-08-08
142,isla vista,32.4,-120.4,61.57,90,18,17.56,2020-08-08
143,isla vista,32.4,-120.6,61.79,90,14,17.45,2020-08-08
144,isla vista,32.4,-120.8,62.06,89,7,17.52,2020-08-08
145,lompoc,32.4,-121.0,62.29,89,2,17.56,2020-08-08
146,lompoc,32.4,-121.2,62.44,88,1,17.63,2020-08-08
147,lompoc,32.4,-121.4,62.58,88,0,17.76,2020-08-08
148,lompoc,32.4,-121.6,62.73,88,0,17.9,2020-08-08
149,lompoc,32.4,-121.8,62.85,87,0,17.98,2020-08-08
150,lompoc,32.4,-122.0,62.94,87,0,17.87,2020-08-08
151,lompoc,32.4,-122.2,63.18,86,0,17.98,2020-08-08
152,lompoc,32.4,-122.4,63.27,86,0,18.1,2020-08-08
153,lompoc,32.4,-122.6,63.45,85,0,18.19,2020-08-08
154,lompoc,32.4,-122.8,63.7,84,8,18.19,2020-08-08
155,lompoc,32.4,-123.0,63.84,84,44,18.1,2020-08-08
156,lompoc,32.4,-123.2,64.08,83,59,17.96,2020-08-08
157,lompoc,32.4,-123.4,64.17,83,47,17.76,2020-08-08
158,lompoc,32.4,-123.6,64.27,83,22,17.74,2020-08-08
159,lompoc,32.4,-123.8,64.4,82,0,17.87,2020-08-08
160,lompoc,32.4,-124.0,64.49,82,0,18.05,2020-08-08
161,lompoc,32.4,-124.2,64.54,82,0,18.23,2020-08-08
162,lompoc,32.4,-124.4,64.63,82,0,18.45,2020-08-08
163,lompoc,32.4,-124.6,64.67,81,0,18.68,2020-08-08
164,lompoc,32.4,-124.8,64.69,81,0,18.88,2020-08-08
165,fortuna foothills,32.6,-114.0,87.15,48,1,3.36,2020-08-08
166,fortuna foothills,32.6,-114.2,87.13,48,1,3.36,2020-08-08
167,fortuna foothills,32.6,-114.4,87.19,48,1,3.36,2020-08-08
168,somerton,32.6,-114.6,86.95,51,1,5.82,2020-08-08
169,cuervos,32.6,-114.8,87.08,51,1,5.82,2020-08-08
170,ejido hermosillo,32.6,-115.0,86.43,51,1,5.82,2020-08-08
171,puebla,32.6,-115.2,84.29,30,1,8.05,2020-08-08
172,puebla,32.6,-115.4,82.4,26,1,8.05,2020-08-08
173,progreso,32.6,-115.6,82.4,20,1,8.05,2020-08-08
174,progreso,32.6,-115.8,71.46,16,1,8.05,2020-08-08
175,progreso,32.6,-116.0,66.29,66,0,6.93,2020-08-08
176,la joya,32.6,-116.2,63.5,66,0,6.93,2020-08-08
177,la joya,32.6,-116.4,60.03,66,0,6.93,2020-08-08
178,tecate,32.6,-116.6,62.64,66,0,6.93,2020-08-08
179,tecate,32.6,-116.8,62.26,88,1,1.03,2020-08-08
180,bonita,32.6,-117.0,63.93,88,1,3.38,2020-08-08
181,coronado,32.6,-117.2,64.4,82,0,3.36,2020-08-08
182,coronado,32.6,-117.4,65.03,82,5,3.36,2020-08-08
183,coronado,32.6,-117.6,65.07,82,24,3.36,2020-08-08
184,coronado,32.6,-117.8,65.05,82,38,3.36,2020-08-08
185,coronado,32.6,-118.0,65.28,87,3,13.65,2020-08-08
186,dana point,32.6,-118.2,60.8,87,0,11.41,2020-08-08
187,dana point,32.6,-118.4,60.8,87,0,11.41,2020-08-08
188,rancho palos verdes,32.6,-118.6,60.8,88,0,11.41,2020-08-08
189,rancho palos verdes,32.6,-118.8,60.8,89,0,11.41,2020-08-08
190,rancho palos verdes,32.6,-119.0,60.8,89,0,11.41,2020-08-08
191,rancho palos verdes,32.6,-119.2,62.08,90,0,19.57,2020-08-08
192,malibu,32.6,-119.4,61.75,90,0,19.44,2020-08-08
193,port hueneme,32.6,-119.6,61.43,91,9,19.06,2020-08-08
194,port hueneme,32.6,-119.8,61.16,91,23,18.61,2020-08-08
195,port hueneme,32.6,-120.0,61.11,91,24,18.05,2020-08-08
196,isla vista,32.6,-120.2,61.11,91,16,17.45,2020-08-08
197,isla vista,32.6,-120.4,61.21,91,10,17.0,2020-08-08
198,isla vista,32.6,-120.6,61.39,91,5,16.78,2020-08-08
199,isla vista,32.6,-120.8,61.65,90,0,16.69,2020-08-08
200,lompoc,32.6,-121.0,61.93,90,0,16.64,2020-08-08
201,lompoc,32.6,-121.2,62.13,89,0,16.84,2020-08-08
202,lompoc,32.6,-121.4,62.29,89,0,17.13,2020-08-08
203,lompoc,32.6,-121.6,62.47,88,0,17.38,2020-08-08
204,lompoc,32.6,-121.8,62.65,88,0,17.54,2020-08-08
205,lompoc,32.6,-122.0,62.8,87,0,17.56,2020-08-08
206,lompoc,32.6,-122.2,63.03,86,0,17.87,2020-08-08
207,lompoc,32.6,-122.4,63.12,86,0,18.16,2020-08-08
208,lompoc,32.6,-122.6,63.27,86,0,18.37,2020-08-08
209,lompoc,32.6,-122.8,63.5,85,8,18.45,2020-08-08
210,lompoc,32.6,-123.0,63.7,84,42,18.39,2020-08-08
211,lompoc,32.6,-123.2,63.93,84,62,18.25,2020-08-08
212,lompoc,32.6,-123.4,64.08,83,48,18.14,2020-08-08
213,lompoc,32.6,-123.6,64.2,83,21,18.19,2020-08-08
214,lompoc,32.6,-123.8,64.33,82,0,18.39,2020-08-08
215,lompoc,32.6,-124.0,64.42,82,0,18.61,2020-08-08
216,lompoc,32.6,-124.2,64.47,82,0,18.79,2020-08-08
217,lompoc,32.6,-124.4,64.56,82,0,18.99,2020-08-08
218,lompoc,32.6,-124.6,64.63,82,0,19.17,2020-08-08
219,lompoc,32.6,-124.8,64.67,81,0,19.3,2020-08-08
220,fortuna foothills,32.8,-114.0,87.17,43,1,9.17,2020-08-08
221,fortuna foothills,32.8,-114.2,87.12,43,1,9.17,2020-08-08
222,fortuna foothills,32.8,-114.4,87.15,43,1,9.17,2020-08-08
223,yuma,32.8,-114.6,87.06,51,1,5.82,2020-08-08
224,algodones,32.8,-114.8,87.1,51,1,5.82,2020-08-08
225,cuervos,32.8,-115.0,86.29,51,1,5.82,2020-08-08
226,puebla,32.8,-115.2,84.22,20,1,8.05,2020-08-08
227,calexico,32.8,-115.4,82.4,20,1,8.05,2020-08-08
228,el centro,32.8,-115.6,82.27,20,1,8.05,2020-08-08
229,imperial,32.8,-115.8,71.13,20,1,8.05,2020-08-08
230,imperial,32.8,-116.0,67.12,22,1,8.05,2020-08-08
231,tecate,32.8,-116.2,65.35,66,0,6.93,2020-08-08
232,tecate,32.8,-116.4,60.26,66,0,6.93,2020-08-08
233,alpine,32.8,-116.6,60.21,66,0,6.93,2020-08-08
234,alpine,32.8,-116.8,61.38,88,1,5.82,2020-08-08
235,el cajon,32.8,-117.0,62.51,88,1,5.82,2020-08-08
236,san diego,32.8,-117.2,63.61,82,1,5.82,2020-08-08
237,solana beach,32.8,-117.4,64.36,82,0,3.36,2020-08-08
238,solana beach,32.8,-117.6,64.35,82,18,3.36,2020-08-08
239,encinitas,32.8,-117.8,64.9,82,39,3.36,2020-08-08
240,dana point,32.8,-118.0,62.44,87,10,11.41,2020-08-08
241,dana point,32.8,-118.2,60.8,86,2,11.41,2020-08-08
242,rancho palos verdes,32.8,-118.4,61.74,86,0,11.41,2020-08-08
243,rancho palos verdes,32.8,-118.6,61.43,88,0,11.41,2020-08-08
244,rancho palos verdes,32.8,-118.8,60.8,89,0,11.41,2020-08-08
245,rancho palos verdes,32.8,-119.0,59.61,89,0,11.41,2020-08-08
246,rancho palos verdes,32.8,-119.2,58.73,87,40,19.46,2020-08-08
247,malibu,32.8,-119.4,57.2,87,40,19.46,2020-08-08
248,port hueneme,32.8,-119.6,57.2,87,40,19.46,2020-08-08
249,port hueneme,32.8,-119.8,57.2,87,40,19.46,2020-08-08
250,port hueneme,32.8,-120.0,60.85,91,19,18.01,2020-08-08
251,isla vista,32.8,-120.2,60.82,91,7,17.2,2020-08-08
252,isla vista,32.8,-120.4,60.93,91,1,16.62,2020-08-08
253,isla vista,32.8,-120.6,61.05,91,0,16.2,2020-08-08
254,isla vista,32.8,-120.8,61.21,91,0,15.95,2020-08-08
255,lompoc,32.8,-121.0,61.5,90,0,15.86,2020-08-08
256,lompoc,32.8,-121.2,61.79,90,0,16.15,2020-08-08
257,lompoc,32.8,-121.4,62.01,89,0,16.53,2020-08-08
258,lompoc,32.8,-121.6,62.26,89,0,16.84,2020-08-08
259,lompoc,32.8,-121.8,62.51,88,0,17.09,2020-08-08
260,lompoc,32.8,-122.0,62.65,88,0,17.38,2020-08-08
261,lompoc,32.8,-122.2,62.8,87,0,17.74,2020-08-08
262,lompoc,32.8,-122.4,62.94,87,0,18.12,2020-08-08
263,lompoc,32.8,-122.6,63.1,86,0,18.39,2020-08-08
264,lompoc,32.8,-122.8,63.3,86,3,18.52,2020-08-08
265,lompoc,32.8,-123.0,63.55,85,16,18.48,2020-08-08
266,lompoc,32.8,-123.2,63.73,84,38,18.41,2020-08-08
267,lompoc,32.8,-123.4,63.97,84,28,18.52,2020-08-08
268,lompoc,32.8,-123.6,64.17,83,10,18.77,2020-08-08
269,lompoc,32.8,-123.8,64.27,83,0,19.04,2020-08-08
270,lompoc,32.8,-124.0,64.31,83,0,19.28,2020-08-08
271,lompoc,32.8,-124.2,64.45,82,0,19.46,2020-08-08
272,lompoc,32.8,-124.4,64.49,82,0,19.62,2020-08-08
273,lompoc,32.8,-124.6,64.56,82,0,19.73,2020-08-08
274,morro bay,32.8,-124.8,64.67,81,0,19.82,2020-08-08
275,fortuna foothills,33.0,-114.0,87.31,43,1,9.17,2020-08-08
276,fortuna foothills,33.0,-114.2,87.12,43,1,9.17,2020-08-08
277,fortuna foothills,33.0,-114.4,87.1,43,1,9.17,2020-08-08
278,yuma,33.0,-114.6,87.08,43,1,9.17,2020-08-08
279,algodones,33.0,-114.8,86.99,43,1,9.17,2020-08-08
280,algodones,33.0,-115.0,85.59,51,1,5.82,2020-08-08
281,brawley,33.0,-115.2,83.39,20,1,8.05,2020-08-08
282,brawley,33.0,-115.4,82.4,25,1,8.05,2020-08-08
283,brawley,33.0,-115.6,82.24,25,1,8.05,2020-08-08
284,brawley,33.0,-115.8,75.09,22,1,8.05,2020-08-08
285,imperial,33.0,-116.0,68.07,20,1,8.05,2020-08-08
286,alpine,33.0,-116.2,65.34,23,1,10.29,2020-08-08
287,alpine,33.0,-116.4,59.54,66,0,6.93,2020-08-08
288,alpine,33.0,-116.6,59.43,82,1,4.14,2020-08-08
289,ramona,33.0,-116.8,60.71,82,1,0.78,2020-08-08
290,poway,33.0,-117.0,61.29,88,1,5.82,2020-08-08
291,solana beach,33.0,-117.2,62.01,92,0,4.47,2020-08-08
292,encinitas,33.0,-117.4,63.43,82,90,6.87,2020-08-08
293,oceanside,33.0,-117.6,63.95,77,1,3.36,2020-08-08
294,oceanside,33.0,-117.8,64.6,100,75,8.77,2020-08-08
295,dana point,33.0,-118.0,64.35,88,38,11.41,2020-08-08
296,newport beach,33.0,-118.2,62.53,85,7,11.41,2020-08-08
297,rancho palos verdes,33.0,-118.4,62.47,86,0,11.41,2020-08-08
298,rancho palos verdes,33.0,-118.6,62.11,88,0,11.41,2020-08-08
299,rancho palos verdes,33.0,-118.8,61.41,89,0,11.41,2020-08-08
300,rancho palos verdes,33.0,-119.0,59.07,90,0,11.41,2020-08-08
301,malibu,33.0,-119.2,58.82,87,40,19.46,2020-08-08
302,malibu,33.0,-119.4,57.2,87,40,19.46,2020-08-08
303,port hueneme,33.0,-119.6,57.2,87,40,19.46,2020-08-08
304,port hueneme,33.0,-119.8,57.2,87,40,19.46,2020-08-08
305,port hueneme,33.0,-120.0,57.2,87,40,19.46,2020-08-08
306,isla vista,33.0,-120.2,60.57,91,0,17.18,2020-08-08
307,isla vista,33.0,-120.4,60.64,91,0,16.31,2020-08-08
308,isla vista,33.0,-120.6,60.71,92,0,15.7,2020-08-08
309,lompoc,33.0,-120.8,60.78,92,0,15.35,2020-08-08
310,lompoc,33.0,-121.0,61.07,91,0,15.19,2020-08-08
311,lompoc,33.0,-121.2,61.36,91,0,15.52,2020-08-08
312,lompoc,33.0,-121.4,61.75,90,0,15.9,2020-08-08
313,lompoc,33.0,-121.6,62.11,89,0,16.35,2020-08-08
314,lompoc,33.0,-121.8,62.37,88,0,16.84,2020-08-08
315,lompoc,33.0,-122.0,62.51,88,0,17.38,2020-08-08
316,lompoc,33.0,-122.2,62.65,88,0,17.63,2020-08-08
317,lompoc,33.0,-122.4,62.8,87,0,17.98,2020-08-08
318,lompoc,33.0,-122.6,63.01,86,0,18.28,2020-08-08
319,lompoc,33.0,-122.8,63.27,86,0,18.41,2020-08-08
320,lompoc,33.0,-123.0,63.41,85,0,18.61,2020-08-08
321,lompoc,33.0,-123.2,63.7,84,4,18.79,2020-08-08
322,lompoc,33.0,-123.4,63.88,84,8,19.1,2020-08-08
323,lompoc,33.0,-123.6,64.02,83,6,19.46,2020-08-08
324,lompoc,33.0,-123.8,64.17,83,0,19.8,2020-08-08
325,lompoc,33.0,-124.0,64.31,83,0,20.09,2020-08-08
326,lompoc,33.0,-124.2,64.45,82,0,20.27,2020-08-08
327,morro bay,33.0,-124.4,64.49,82,0,20.4,2020-08-08
328,morro bay,33.0,-124.6,64.56,82,0,20.51,2020-08-08
329,morro bay,33.0,-124.8,64.67,81,0,20.56,2020-08-08
330,fortuna foothills,33.2,-114.0,86.13,43,1,9.17,2020-08-08
331,blythe,33.2,-114.2,86.65,43,1,9.17,2020-08-08
332,blythe,33.2,-114.4,86.68,43,1,9.17,2020-08-08
333,blythe,33.2,-114.6,86.68,43,1,9.17,2020-08-08
334,blythe,33.2,-114.8,86.67,43,1,9.17,2020-08-08
335,algodones,33.2,-115.0,85.17,43,1,9.17,2020-08-08
336,brawley,33.2,-115.2,82.4,21,1,8.05,2020-08-08
337,brawley,33.2,-115.4,82.4,27,1,8.05,2020-08-08
338,brawley,33.2,-115.6,78.87,34,1,8.05,2020-08-08
339,brawley,33.2,-115.8,81.9,33,1,8.05,2020-08-08
340,coachella,33.2,-116.0,75.4,23,1,10.29,2020-08-08
341,la quinta,33.2,-116.2,73.47,23,1,10.29,2020-08-08
342,la quinta,33.2,-116.4,66.27,23,1,10.29,2020-08-08
343,ramona,33.2,-116.6,64.6,23,1,10.29,2020-08-08
344,ramona,33.2,-116.8,59.29,82,1,1.41,2020-08-08
345,escondido,33.2,-117.0,60.69,85,0,0.83,2020-08-08
346,vista,33.2,-117.2,62.08,82,90,2.21,2020-08-08
347,oceanside,33.2,-117.4,62.83,100,75,4.85,2020-08-08
348,oceanside,33.2,-117.6,63.54,100,75,6.69,2020-08-08
349,dana point,33.2,-117.8,64.4,77,1,3.36,2020-08-08
350,dana point,33.2,-118.0,64.74,63,1,3.36,2020-08-08
351,newport beach,33.2,-118.2,64.49,63,1,3.36,2020-08-08
352,rancho palos verdes,33.2,-118.4,63.93,63,1,3.36,2020-08-08
353,rancho palos verdes,33.2,-118.6,62.92,87,0,11.41,2020-08-08
354,rancho palos verdes,33.2,-118.8,61.25,88,0,11.41,2020-08-08
355,rancho palos verdes,33.2,-119.0,60.46,89,0,11.41,2020-08-08
356,malibu,33.2,-119.2,58.68,87,40,19.46,2020-08-08
357,port hueneme,33.2,-119.4,57.2,87,40,19.46,2020-08-08
358,port hueneme,33.2,-119.6,57.2,87,40,19.46,2020-08-08
359,port hueneme,33.2,-119.8,57.2,87,40,19.46,2020-08-08
360,isla vista,33.2,-120.0,57.2,87,40,19.46,2020-08-08
361,isla vista,33.2,-120.2,57.2,87,40,19.46,2020-08-08
362,isla vista,33.2,-120.4,60.31,92,0,16.24,2020-08-08
363,isla vista,33.2,-120.6,60.33,92,0,15.32,2020-08-08
364,lompoc,33.2,-120.8,60.49,92,0,14.74,2020-08-08
365,lompoc,33.2,-121.0,60.78,92,0,14.56,2020-08-08
366,lompoc,33.2,-121.2,61.07,91,0,14.94,2020-08-08
367,lompoc,33.2,-121.4,61.38,91,0,15.46,2020-08-08
368,lompoc,33.2,-121.6,61.74,90,0,16.06,2020-08-08
369,lompoc,33.2,-121.8,62.11,89,0,16.67,2020-08-08
370,lompoc,33.2,-122.0,62.37,88,0,17.25,2020-08-08
371,lompoc,33.2,-122.2,62.51,88,0,17.56,2020-08-08
372,lompoc,33.2,-122.4,62.74,87,0,17.9,2020-08-08
373,lompoc,33.2,-122.6,62.96,87,0,18.19,2020-08-08
374,lompoc,33.2,-122.8,63.12,86,0,18.41,2020-08-08
375,lompoc,33.2,-123.0,63.27,86,0,18.68,2020-08-08
376,lompoc,33.2,-123.2,63.45,85,4,19.15,2020-08-08
377,lompoc,33.2,-123.4,63.68,84,3,19.69,2020-08-08
378,lompoc,33.2,-123.6,63.93,84,1,20.22,2020-08-08
379,lompoc,33.2,-123.8,64.17,83,0,20.67,2020-08-08
380,morro bay,33.2,-124.0,64.31,83,0,20.85,2020-08-08
381,morro bay,33.2,-124.2,64.35,82,0,20.92,2020-08-08
382,morro bay,33.2,-124.4,64.44,82,0,20.96,2020-08-08
383,morro bay,33.2,-124.6,64.56,82,0,21.0,2020-08-08
384,pacific grove,33.2,-124.8,64.67,81,0,20.98,2020-08-08
385,blythe,33.4,-114.0,83.23,8,0,2.42,2020-08-08
386,blythe,33.4,-114.2,85.66,43,1,9.17,2020-08-08
387,blythe,33.4,-114.4,85.87,43,1,9.17,2020-08-08
388,blythe,33.4,-114.6,86.07,43,1,9.17,2020-08-08
389,blythe,33.4,-114.8,84.99,8,0,4.92,2020-08-08
390,blythe,33.4,-115.0,81.97,15,0,6.71,2020-08-08
391,brawley,33.4,-115.2,76.82,17,0,4.36,2020-08-08
392,brawley,33.4,-115.4,72.63,20,1,8.05,2020-08-08
